,Location Name,Phone Number,Street Address,City,State,Website,Insurance Accepted,Walk-Ins Accepted,Last Updated,Latitude,Longitude
0,"CVS Pharmacy, Inc. #5340",504-737-6242,9643-B JEFFERSON HWY,RIVER RIDGE,LA,https://www.cvs.com/store-locator/details-directions/005340,True,True,2024-08-01,29.957522,-90.217062
1,"CVS Pharmacy, Inc. #2113",215-836-1323,1600 WADSWORTH AVENUE,PHILADELPHIA,PA,https://www.cvs.com/store-locator/details-directions/002113,True,True,2024-08-01,40.080415,-75.171958
2,"CVS Pharmacy, Inc. #16504",619-315-0016,2911 JAMACHA RD,EL CAJON,CA,https://www.cvs.com/store-locator/details-directions/016504,True,True,2024-08-01,32.738217,-116.938327
3,Rite Aid #RA105255,253-851-6939,"4818 POINT FOSDICK DR.,NW",GIG HARBOR,WA,https://www.riteaid.com,True,False,2024-08-01,47.302477,-122.581456
4,Walmart Inc #10-1447,715-392-9520,3705 Tower Ave,Superior,WI,https://www.walmart.com/store/1447,True,True,2024-08-01,46.694518,-92.106958
5,Hannaford #8224,207-288-0421,86 COTTAGE STREET,BAR HARBOR,ME,https://hannafordsched.rxtouch.com/rbssched/program/wellness,True,True,2024-08-01,44.388275,-68.210651
6,Walmart Inc #10-2029,573-635-8384,724 W Stadium Blvd,Jefferson City,MO,https://www.walmart.com/store/29,True,True,2024-08-01,38.579894,-92.21967
7,"CVS Pharmacy, Inc. #4795",480-325-5869,6015 E. BROWN ROAD,MESA,AZ,https://www.cvs.com/store-locator/details-directions/004795,True,True,2024-08-01,33.436785,-111.701007
8,Rite Aid #RA106016,209-588-0561,855 MONO WAY,SONORA,CA,https://www.riteaid.com,True,False,2024-08-01,37.974889,-120.367781
9,Rite Aid #RA104765,517-625-3322,681 NORTH MAIN STREET,PERRY,MI,https://www.riteaid.com,True,False,2024-08-01,42.833691,-84.220058
10,Giant #6512,610-290-1031,310 S HENDERSON ROAD,KING OF PRUSSIA,PA,https://giantsched.rxtouch.com/rbssched/program/wellness,True,True,2024-08-01,40.091497,-75.357888
11,Walmart Inc #10-1124,256-773-1799,1201 Highway 31 NW,Hartselle,AL,https://www.walmart.com/store/1124,True,True,2024-08-01,34.452413,-86.948796
12,H-E-B #136,956-425-4423,1213 S. COMMERCE,HARLINGEN,TX,https://vaccine.heb.com/,False,True,2024-08-01,26.181496,-97.681604
13,"CVS Pharmacy, Inc. #616",914-381-4550,805 MAMARONECK AVENUE,MAMARONECK,NY,https://www.cvs.com/store-locator/details-directions/000616,True,True,2024-08-01,40.956694,-73.736845
14,Publix Super Markets Inc. #706,770-614-7711,4840 Golden Parkway,Buford,GA,https://www.publix.com/pharmacy/pharmacy-services/vaccinations,True,True,2024-08-01,34.142399,-83.950692
15,"CVS Pharmacy, Inc. #17081",978-534-4358,86 ORCHARD HILL PARK DR,LEOMINSTER,MA,https://www.cvs.com/store-locator/details-directions/017081,True,True,2024-08-01,42.527745,-71.713868
16,"CVS Pharmacy, Inc. #7170",847-740-6795,1229 W. IL ROUTE 134,ROUND LAKE,IL,https://www.cvs.com/store-locator/details-directions/007170,True,True,2024-08-01,42.363064,-88.112587
17,"CVS Pharmacy, Inc. #16409",757-547-5802,1316 GREENBRIER PKWY,CHESAPEAKE,VA,https://www.cvs.com/store-locator/details-directions/016409,True,True,2024-08-01,36.771104,-76.23216
18,Walmart Inc #12-Oct,480-941-3131,4915 N Pima Rd,Scottsdale,AZ,https://www.walmart.com/store/2112,True,True,2024-08-01,33.507765,-111.889277
19,Walmart Inc #25-Oct,401-766-0273,7 Dowling Village Blvd,N Smithfield,RI,https://www.walmart.com/store/2225,True,True,2024-08-01,41.976307,-71.505439
20,"CVS Pharmacy, Inc. #838",413-562-5181,"427 EAST MAIN ST, WESTFIELD SHOPS",WESTFIELD,MA,https://www.cvs.com/store-locator/details-directions/000838,True,True,2024-08-01,42.113199,-72.724725
21,"CVS Pharmacy, Inc. #16618",518-226-0578,3031 ROUTE 50,SARATOGA SPRINGS,NY,https://www.cvs.com/store-locator/details-directions/016618,True,True,2024-08-01,43.098884,-73.744206
22,Walmart Inc #Oct-91,972-564-9160,802 E US Highway 80,Forney,TX,https://www.walmart.com/store/5191,True,True,2024-08-01,32.743531,-96.447755
23,"CVS Pharmacy, Inc. #7339",336-591-4351,"610 N. MAIN ST., PO BOX 869",WALNUT COVE,NC,https://www.cvs.com/store-locator/details-directions/007339,True,True,2024-08-01,36.299987,-80.141049
24,"CVS Pharmacy, Inc. #10533",262-554-0035,3915 DURAND AVE.,RACINE,WI,https://www.cvs.com/store-locator/details-directions/010533,True,True,2024-08-01,42.696147,-87.826499
25,Publix Super Markets Inc. #1333,561-741-6065,17400 Alternate A1A,Jupiter,FL,https://www.publix.com/pharmacy/pharmacy-services/vaccinations,True,True,2024-08-01,26.932814,-80.09199
26,Stop & Shop #72,413-568-9660,57 MAIN STREET,WESTFIELD,MA,https://stopandshopsched.rxtouch.com/rbssched/program/wellness,True,True,2024-08-01,42.119328,-72.747602
27,Walmart Inc #30-Oct,802-773-1600,1 Rutland Plz,Rutland,VT,https://www.walmart.com/store/2530,True,True,2024-08-01,43.612689,-72.963461
28,"CVS Pharmacy, Inc. #2348",412-687-4181,3422 FORBES AVENUE,PITTSBURGH,PA,https://www.cvs.com/store-locator/details-directions/002348,True,True,2024-08-01,40.438771,-79.960248
29,Walmart Inc #Oct-72,770-225-0394,8424 Mall Pkwy,Lithonia,GA,https://www.walmart.com/store/4472,True,True,2024-08-01,33.694745,-84.084948
30,"CVS Pharmacy, Inc. #4076",561-994-2490,2901 CLINT MOORE RD,BOCA RATON,FL,https://www.cvs.com/store-locator/details-directions/004076,True,True,2024-08-01,26.40894,-80.145388
31,Walmart Inc #Oct-33,251-990-9907,10040 County Road 48,Fairhope,AL,https://www.walmart.com/store/4333,True,True,2024-08-01,30.522499,-87.850678
32,"CVS Pharmacy, Inc. #10372",330-453-4845,2210 WEST TUSCARAWAS STREET,CANTON,OH,https://www.cvs.com/store-locator/details-directions/010372,True,True,2024-08-01,40.799197,-81.398233
34,SAV-ON PHARMACY #331,760-384-4020,927 S CHINA LAKE BLVD,Ridgecrest,CA,https://www.albertsons.com/vaccinations/home,True,True,2024-08-01,35.605682,-117.674743
